Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,tau_accept_rate,phi_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_FixedZ0p9_muSD5_HC2p5_sigY2p04_sigC1p19,0.9,5.0,2.5,2.0370767292768135,1.1882947587448078,0.3856717683730556,0.03883601215502177,0.3118705232354172,0.46120862541505847,0.2784799058359904,0.04048802625041492,0.2008515224229982,0.3585714532141694,0.14115285828405363,0.1400074097245335,-0.14174222956305116,0.35995978857630634,0.9996962358394894,1.0045639383572782,1.072229834413847,0.1805,0.308,1.780057345919449,0.15518358578736585,1.7751981676964061,0.9654427645788337
AR1_FixedZ0p9_muSD10_HC2p5_sigY2p04_sigC1p19,0.9,10.0,2.5,2.0370767292768135,1.1882947587448078,0.3856899139771687,0.03883699006178023,0.3118859203974463,0.46122651244193746,0.2784799058359904,0.04048802625041492,0.2008515224229982,0.3585714532141694,0.14115285828405363,0.1400074097245335,-0.14174222956305116,0.35995978857630634,0.9996961300415358,1.0045639383572782,1.072229834413847,0.1805,0.308,1.7800589072390398,0.15520157925455128,1.7751981602371745,0.9654427645788337
AR1_FixedZ0p5_muSD5_HC1p0_sigY1p7_sigC1p36,0.5,5.0,1.0,1.6975639410640113,1.3580511528512091,0.4278649523664985,0.02686137395923181,0.38119311857038896,0.4884601058596291,0.1954812787932176,0.04654810951112086,0.13006847265648103,0.2957647737231565,0.7077387411661921,0.1743835923534362,0.39216335256055984,0.9506547350069063,1.003452687227694,1.064610644472178,1.0361449179010467,0.178,0.5185,1.7801536159880365,0.1886268896832878,1.7720465491090591,0.9308855291576674
AR1_FixedZ0p5_muSD10_HC1p0_sigY1p7_sigC1p36,0.5,10.0,1.0,1.6975639410640113,1.3580511528512091,0.42787532315416016,0.026861627889080045,0.38120346616906814,0.4884714129045842,0.1954812787932176,0.04654810951112086,0.13006847265648103,0.2957647737231565,0.7077387411661921,0.1743835923534362,0.39216335256055984,0.9506547350069063,1.0034534450668509,1.064610644472178,1.0361449179010467,0.178,0.5185,1.7801546577035035,0.18863691205960975,1.7720465286784484,0.9308855291576674
AR1_FixedZ0p7_muSD5_HC5p0_sigY1p7_sigC1p36,0.7,5.0,5.0,1.6975639410640113,1.3580511528512091,0.38342760594675857,0.04758570796765883,0.28518240332459033,0.45369839830852526,0.14931494067250195,0.07486978326127686,0.07643277676689719,0.30770492585624526,0.3454996545816701,0.15360362913206418,-0.0771021488215763,0.5698447427881176,1.3533863714898318,2.744692895376335,1.4865862203918125,0.197,0.3265,1.7801716696010628,0.15309554947129717,1.7754947269392847,0.9352051835853131
AR1_FixedZ0p7_muSD10_HC5p0_sigY1p7_sigC1p36,0.7,10.0,5.0,1.6975639410640113,1.3580511528512091,0.38343679983304385,0.047588369299744665,0.28518612919996866,0.4537103266476646,0.14931494067250195,0.07486978326127686,0.07643277676689719,0.30770492585624526,0.3454996545816701,0.15360362913206418,-0.0771021488215763,0.5698447427881176,1.3534361316068588,2.744692895376335,1.4865862203918125,0.197,0.3265,1.7801724413027724,0.15310461007137044,1.775494719366288,0.9352051835853131
AR1_FixedZ0p5_muSD5_HC2p5_sigY2p04_sigC1p36,0.5,5.0,2.5,2.0370767292768135,1.3580511528512091,0.44199578266389244,0.0314763151897393,0.3769198928739671,0.4991209503722316,0.22514686809256237,0.03796199088219808,0.1798918334414417,0.3124918719755702,0.7936608292518553,0.1667314846521207,0.5041911177835945,0.9885582388133778,1.3157436569181251,1.3552883047236925,3.274516489257823,0.2205,0.5905,1.780176943837902,0.2090313658294131,1.7697741764589274,0.9676025917926566
AR1_FixedZ0p5_muSD10_HC2p5_sigY2p04_sigC1p36,0.5,10.0,2.5,2.0370767292768135,1.3580511528512091,0.4420074762515188,0.031476855284106695,0.3769300022485868,0.49913321394524846,0.22514686809256237,0.03796199088219808,0.1798918334414417,0.3124918719755702,0.7936608292518553,0.1667314846521207,0.5041911177835945,0.9885582388133778,1.3157515662465697,1.3552883047236925,3.274516489257823,0.2205,0.5905,1.7801782227199003,0.20904251184298844,1.76977414628172,0.9676025917926566
AR1_FixedZ0p7_muSD5_HC2p5_sigY1p7_sigC1p19,0.7,5.0,2.5,1.6975639410640113,1.1882947587448078,0.4315135858242894,0.031669935313692346,0.37386245551844693,0.5051747416461034,0.2202854481054613,0.03999012412618253,0.1697192179262649,0.30193684434953016,0.6453007433316322,0.20072362214532127,0.33289895679661563,0.9652409461850102,1.3149052206111438,1.0022589690005683,2.2419114878813344,0.212,0.4565,1.7803094366260181,0.19887127448674127,1.7710806571129658,0.9330453563714903
AR1_FixedZ0p7_muSD10_HC2p5_sigY1p7_sigC1p19,0.7,10.0,2.5,1.6975639410640113,1.1882947587448078,0.43152477135629996,0.03167030951889504,0.37387357385573916,0.505186943512109,0.2202854481054613,0.03999012412618253,0.1697192179262649,0.30193684434953016,0.6453007433316322,0.20072362214532127,0.33289895679661563,0.9652409461850102,1.3149117616362567,1.0022589690005683,2.2419114878813344,0.212,0.4565,1.7803106156083093,0.1988820790607365,1.7710806289202234,0.9330453563714903
