Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
52,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC1p02,0.7,5.0,1.0,1.6975639410640113,1.0185383646384067,1.781395145936195,0.17854487869042224,1.7743421752898356,0.9352051835853131,1.0046865976003077,1.1116084627695917,0.193,Bayesian independent fixed Z
53,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC1p02,0.7,10.0,1.0,1.6975639410640113,1.0185383646384067,1.7813959829114743,0.17855322924740644,1.7743421752898356,0.9352051835853131,1.0046868065777348,1.1116084627695917,0.193,Bayesian independent fixed Z
54,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p7_sigC0p849,0.7,5.0,1.0,1.6975639410640113,0.8487819705320057,1.7814194965064587,0.20559377538689355,1.7714299540982106,0.9330453563714903,1.0760278078441152,1.068607728295773,0.187,Bayesian independent fixed Z
55,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p7_sigC0p849,0.7,10.0,1.0,1.6975639410640113,0.8487819705320057,1.7814202747161523,0.2056005182733791,1.7714299540982106,0.9330453563714903,1.0760286659299032,1.068607728295773,0.187,Bayesian independent fixed Z
56,Ind_FixedZ0p7_muSD5_HC5p0_sigY2p04_sigC1p36,0.7,5.0,5.0,2.0370767292768135,1.3580511528512091,1.781618790196006,0.19110721380608978,1.7732554758574401,0.9676025917926566,1.2494810443489845,1.0373149484874493,0.216,Bayesian independent fixed Z
57,Ind_FixedZ0p7_muSD10_HC5p0_sigY2p04_sigC1p36,0.7,10.0,5.0,2.0370767292768135,1.3580511528512091,1.7816202860416523,0.19112115849477515,1.7732554758574401,0.9676025917926566,1.2494934370838826,1.0373149484874493,0.216,Bayesian independent fixed Z
58,Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p02,0.7,5.0,1.0,2.0370767292768135,1.0185383646384067,1.7816527652330225,0.20393534496370003,1.7718571274987283,0.9676025917926566,1.0704288909474,1.0045794441033484,0.199,Bayesian independent fixed Z
59,Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p02,0.7,10.0,1.0,2.0370767292768135,1.0185383646384067,1.7816538770475594,0.20394505794842716,1.7718571274987283,0.9676025917926566,1.0704308048603943,1.0045794441033484,0.199,Bayesian independent fixed Z
60,Ind_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p19,0.7,5.0,2.5,2.0370767292768135,1.1882947587448078,1.781812279379308,0.20703744487530193,1.7716573301778233,0.9676025917926566,1.0976759342602125,1.137235959763017,0.2145,Bayesian independent fixed Z
61,Ind_FixedZ0p7_muSD10_HC2p5_sigY2p04_sigC1p19,0.7,10.0,2.5,2.0370767292768135,1.1882947587448078,1.7818137001594603,0.20704967208270283,1.7716573301778233,0.9676025917926566,1.097676223013098,1.137235959763017,0.2145,Bayesian independent fixed Z
62,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p02,0.7,5.0,5.0,1.3580511528512091,1.0185383646384067,1.7820255469352473,0.18727294759010787,1.774074859492958,0.8812095032397408,1.0571453407723965,1.0425410295637303,0.2205,Bayesian independent fixed Z
63,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p02,0.7,10.0,5.0,1.3580511528512091,1.0185383646384067,1.7820263176914053,0.18728028170101124,1.774074859492958,0.8812095032397408,1.0571465993050289,1.0425410295637303,0.2205,Bayesian independent fixed Z
64,Ind_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p02,0.7,5.0,2.5,2.0370767292768135,1.0185383646384067,1.7821602897494684,0.20294167745438702,1.7724828612248866,0.9676025917926566,1.224105354103122,1.058479224054997,0.20450000000000002,Bayesian independent fixed Z
65,Ind_FixedZ0p7_muSD10_HC2p5_sigY2p04_sigC1p02,0.7,10.0,2.5,2.0370767292768135,1.0185383646384067,1.7821613867674289,0.20295131084301152,1.7724828612248866,0.9676025917926566,1.224109772306362,1.058479224054997,0.20450000000000002,Bayesian independent fixed Z
