mu_chain_1,tau_chain_1,Z_mean_chain_1,mu_chain_2,tau_chain_2,Z_mean_chain_2
0.28680895417806596,0.32342361801678116,0.9141092102170489,0.345739087160697,0.2694557651383049,0.9243809537130465
0.2947526944517659,0.31461785768661654,0.9141092102170489,0.3464617986066107,0.26978782968821785,0.9243809537130465
0.2898994078317936,0.31461785768661654,0.9141092102170489,0.33523311729412586,0.27535982374543955,0.9243809537130465
0.28797225298941426,0.31461785768661654,0.9141092102170489,0.33382354731756286,0.2644677912464275,0.9243809537130465
0.286296006151246,0.31461785768661654,0.9141092102170489,0.3302821405031154,0.2644677912464275,0.9243809537130465
0.28498503628888466,0.31461785768661654,0.9141092102170489,0.33070293856117394,0.2644677912464275,0.9243809537130465
0.29464140477482703,0.31461785768661654,0.9141092102170489,0.3194486479585092,0.2644677912464275,0.9243809537130465
0.2906408226067013,0.31461785768661654,0.9141092102170489,0.3194183232677348,0.2644677912464275,0.9243809537130465
0.3036274237486323,0.3115310606266479,0.9141092102170489,0.31706073669761087,0.2644677912464275,0.9243809537130465
0.30891970618269365,0.3115310606266479,0.9141092102170489,0.3082679197867455,0.2644677912464275,0.9243809537130465
0.31412576016111404,0.3115310606266479,0.9141092102170489,0.30767150138971755,0.2644677912464275,0.9243809537130465
0.30885433282710634,0.3115310606266479,0.9141092102170489,0.3010243100600475,0.2644677912464275,0.9243809537130465
0.3107977268888603,0.3115310606266479,0.9141092102170489,0.2921759332785748,0.2644677912464275,0.9243809537130465
0.31675477305331534,0.3115310606266479,0.9141092102170489,0.2923123942540401,0.2658599512344261,0.9243809537130465
0.3240180183288306,0.3115310606266479,0.9141092102170489,0.2877578673290065,0.2658599512344261,0.9243809537130465
0.3228816698449626,0.3115310606266479,0.9141092102170489,0.2958240160437986,0.2658599512344261,0.9243809537130465
0.32611545784184937,0.3115310606266479,0.9141092102170489,0.2928036875403372,0.2658599512344261,0.9243809537130465
0.3301122196751143,0.3124151534229334,0.9141092102170489,0.2926263778269496,0.2658599512344261,0.9243809537130465
0.32395930218202973,0.3124151534229334,0.9141092102170489,0.30392676141247665,0.2658599512344261,0.9243809537130465
0.3230065256218486,0.3124151534229334,0.9141092102170489,0.30810692983744536,0.2658599512344261,0.9243809537130465
0.3202941058518709,0.3124151534229334,0.9141092102170489,0.30348252600045966,0.2658599512344261,0.9243809537130465
0.31791395860467536,0.3124151534229334,0.9141092102170489,0.30209180093011584,0.2658599512344261,0.9243809537130465
0.31353563607951584,0.3124151534229334,0.9141092102170489,0.295501403929687,0.26629869444325943,0.9243809537130465
0.30969531632528446,0.3141203860014372,0.9141092102170489,0.2995729361716331,0.26629869444325943,0.9243809537130465
0.315327425917949,0.3141203860014372,0.9141092102170489,0.2994059056741995,0.26629869444325943,0.9243809537130465
0.3156867162915353,0.3141203860014372,0.9141092102170489,0.3085407913344701,0.26629869444325943,0.9243809537130465
0.3132865807554269,0.3141203860014372,0.9141092102170489,0.2982987203999327,0.26629869444325943,0.9243809537130465
0.30733942187161195,0.3141203860014372,0.9141092102170489,0.2978633257596068,0.26629869444325943,0.9243809537130465
0.31406952129279636,0.3141203860014372,0.9141092102170489,0.29306890536897456,0.26629869444325943,0.9243809537130465
0.31546923906247093,0.3141203860014372,0.9141092102170489,0.2836804198492342,0.26629869444325943,0.9243809537130465
0.3228310642319126,0.3141203860014372,0.9141092102170489,0.29509842695954974,0.26806235088375135,0.9243809537130465
0.33134704972221046,0.3141203860014372,0.9141092102170489,0.3012439127058412,0.26806235088375135,0.9243809537130465
0.31642862923457665,0.3141203860014372,0.9141092102170489,0.3095946596041769,0.26806235088375135,0.9243809537130465
0.31368566313199153,0.3141203860014372,0.9141092102170489,0.30312072494411646,0.26806235088375135,0.9243809537130465
0.31998187233553077,0.3141203860014372,0.9141092102170489,0.2980629860290447,0.26806235088375135,0.9243809537130465
0.3025931561861477,0.3141203860014372,0.9141092102170489,0.29868655988919834,0.26806235088375135,0.9243809537130465
0.3062774534213473,0.3141203860014372,0.9141092102170489,0.29786351516691817,0.26806235088375135,0.9243809537130465
0.3100049173539301,0.3141203860014372,0.9141092102170489,0.2896740874612435,0.26806235088375135,0.9243809537130465
0.30566970478308564,0.3141203860014372,0.9141092102170489,0.29230748983490185,0.26806235088375135,0.9243809537130465
0.30226456680205627,0.3141203860014372,0.9141092102170489,0.29384285685947364,0.26806235088375135,0.9243809537130465
0.3186867976388612,0.3141203860014372,0.9141092102170489,0.30411681328832524,0.26806235088375135,0.9243809537130465
0.31182559005273125,0.3141203860014372,0.9141092102170489,0.2998921726745611,0.26806235088375135,0.9243809537130465
0.3193187125514809,0.3141203860014372,0.9141092102170489,0.28746231318881865,0.26806235088375135,0.9243809537130465
0.32647698080641974,0.3141203860014372,0.9141092102170489,0.2973028321582621,0.26806235088375135,0.9243809537130465
0.33191105890836275,0.3141203860014372,0.9141092102170489,0.2976516568469157,0.26806235088375135,0.9243809537130465
0.333226577332592,0.3141203860014372,0.9141092102170489,0.2930675245266635,0.26806235088375135,0.9243809537130465
0.34528556660088283,0.3141203860014372,0.9141092102170489,0.28832413172907406,0.26765723102681743,0.9243809537130465
0.3511383000785549,0.3141203860014372,0.9141092102170489,0.29822484803200133,0.26765723102681743,0.9243809537130465
0.3412666986376475,0.3141203860014372,0.9141092102170489,0.29390490057351826,0.26765723102681743,0.9243809537130465
