Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_Z_mean,tau_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY2p04_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,2.5,2.0370767292768135,0.8487819705320057,0.3682570724101059,0.05772877770167056,0.2733343157569311,0.47482383786973953,0.3008573704103937,0.060557380283754306,0.2263826818225356,0.4102425027740882,0.978103068950016,0.003117013009723175,0.9715601401665582,0.9812434824338702,1.7357569807926452,1.1264044915523297,1.0079000084068879,0.2195,0.005333333333333334,1.77853869356968,0.1413503762316778,1.77483054460454,0.9697624190064795
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY2p04_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,2.5,2.0370767292768135,1.0185383646384067,0.3511007118669725,0.0433414965472617,0.2790373461720644,0.4383426935946088,0.29175742767011864,0.05112746014080096,0.2093145918532203,0.3986715857347992,0.9805497310453536,0.00406007829339692,0.968131924565505,0.9832519069600699,1.020096086698694,1.0005918875031552,1.6089452633816508,0.20500000000000002,0.004833333333333334,1.7712229537775257,0.12101849015086683,1.7689952288293378,0.9697624190064795
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY2p04_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,2.5,2.0370767292768135,1.1882947587448078,0.3379556666573799,0.03932164398357001,0.269901581073968,0.4081920270136394,0.25092081463229216,0.05476469235618653,0.19865139256887002,0.3780930747177872,0.9803141887948459,0.004507851524319698,0.9688394419133314,0.9875115094930678,1.0248871971719018,1.6535755559684946,1.9300317786527288,0.196,0.0061666666666666675,1.7797972539516527,0.10682159232963419,1.7785103767569914,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD5_HC2p5_sigY2p04_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,2.5,2.0370767292768135,1.3580511528512091,0.34224435931354136,0.04369572399488865,0.2494009373691786,0.41911738344694754,0.326195001990096,0.06832555535747743,0.23948937956748184,0.4289993742321513,0.9810565707903574,0.0054892873742489875,0.9675978695247696,0.9859317587377191,1.014549309853741,2.181450498281312,1.61987005170838,0.2185,0.006666666666666666,1.7818229761316409,0.11449798313588283,1.7800637676752433,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,5.0,1.3580511528512091,0.8487819705320057,0.40465553399547216,0.05950931887461353,0.30051545968189136,0.5033190948920784,0.6736477288941357,0.25572684618114344,0.2636633573343636,0.9503584881271748,0.8186590548560019,0.15861062533825687,0.6550386031544244,0.9847876206895755,2.5836255444972256,3.260515889310745,28.21281210801992,0.2145,0.006166666666666667,1.7904597054115852,0.1808825277963277,1.7832261473696254,0.9092872570194385
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,5.0,1.3580511528512091,1.0185383646384067,0.38571308653491054,0.06822870859625593,0.262941905079519,0.49192000913498024,0.7655645700526894,0.0529904792641011,0.6123795573487705,0.8294491659616725,0.8193972210275564,0.16009006442289564,0.6378913306608741,0.980875381091476,2.535198758337342,1.1739374878999727,37.171298504776125,0.20350000000000001,0.007,1.7812651335489098,0.15863957908722887,1.7761059224427267,0.9114470842332614
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,5.0,1.3580511528512091,1.1882947587448078,0.43344037144901926,0.029302985675919425,0.36950436117228136,0.4858139760541778,0.6848779271796772,0.03597927260475356,0.6191504907589142,0.7582425510329972,0.6572036998271611,0.009856166948315178,0.6460893530355237,0.6705709313390732,1.033580191779741,1.3493506042796548,9.126638501377007,0.201,0.006333333333333333,1.791410945751038,0.2119180281145589,1.7807562828032717,0.9006479481641468
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p36_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,5.0,1.3580511528512091,1.3580511528512091,0.3707962246201072,0.0530066946554247,0.27320040407962976,0.4620986820110621,0.7470969639457473,0.1882099422910788,0.5236678132433095,0.9859182599168691,0.8220902552707746,0.1689582280807133,0.6478777339511806,0.9916207515645841,2.033742157135606,10.250749844266076,95.34839673865318,0.1935,0.007166666666666667,1.7773898379776325,0.14535038088334254,1.7733527806196039,0.9157667386609071
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,0.8487819705320057,0.3665854592061198,0.04275934206052604,0.29009695925496726,0.4604966242327308,0.32331078192730023,0.04495959789966491,0.2600909173489731,0.4190904161817685,0.979706242778281,0.0023728072948251615,0.9762427247984323,0.9838669795376699,1.1007840724070854,1.1510003795595793,1.0988313629588298,0.19,0.005666666666666667,1.775920332548397,0.1371100954130453,1.7725348421730251,0.9330453563714903
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,1.0185383646384067,0.33506547252552155,0.040391044721202224,0.25287247911950866,0.4037762482983462,0.4349606743771828,0.10877770398260288,0.2804723107691205,0.5933723799117359,0.9821060106753279,0.006664873468679246,0.9702177519133199,0.9875733234267878,1.0271824243063725,3.8084182766599732,2.0149301513293962,0.214,0.0055,1.7738293308117312,0.10521356684139738,1.772621556222935,0.9395248380129589
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,1.1882947587448078,0.32685294059881953,0.036575957806285725,0.2584261978009307,0.39807515607211036,0.406555749816747,0.06824300754836543,0.288711633744768,0.5547042544304588,0.9685987526483343,0.0074487121079722775,0.9587504318692271,0.977140888486835,1.0188772437609797,1.0188334143744466,1.1338910374957623,0.181,0.007166666666666667,1.773276985731712,0.09650888511262438,1.772564087577379,0.9416846652267818
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY1p7_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,5.0,1.6975639410640113,1.3580511528512091,0.33414463476130857,0.03691825374393483,0.24360373123916296,0.4023815593105246,0.35305304983580243,0.08154049375692506,0.24848646592534732,0.5384744742549838,0.9645004144016044,0.006716312155621361,0.9561009872705389,0.9765321939931773,1.0949123474174292,1.1672689298177779,1.0841106211969274,0.217,0.007166666666666667,1.772637126678271,0.10662662966901387,1.771341278924578,0.9395248380129589
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC0p849,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,0.8487819705320057,0.3604648596952963,0.03549877400183466,0.2980239936647994,0.41945231731899574,0.28685754895872606,0.052750014598207315,0.21185907556484565,0.3825354556571354,0.9711605983254581,0.006294394224656043,0.9626059056107699,0.9824051158707331,1.0046733814497417,1.0165132232263205,1.0664269089648322,0.219,0.008666666666666666,1.7713966685306193,0.13011783980999506,1.7685221891201859,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC1p02,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,1.0185383646384067,0.2269451069406177,0.1484745025929976,0.03208123453060118,0.4335084433521217,0.20497932075843797,0.1502510528939967,0.0539312151279182,0.4181431581264527,0.9756802531677347,0.005523247315997257,0.9694889425238623,0.9889745697628469,6.194740814380437,6.035232650724909,1.5249340376636444,0.2,0.007,1.771368031917758,-0.005349596796453055,1.773275973889774,0.9719222462203023
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC1p19,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,1.1882947587448078,0.33830890499990807,0.03402636155727642,0.2745867517561082,0.3997704301718027,0.31051458066428406,0.04821440159369791,0.2334155187936855,0.4078274312421029,0.9822438795770254,0.0038619406600855074,0.9776508381065735,0.9870020889938007,1.0777406923497237,1.4190433109820715,2.3375683627367185,0.217,0.004833333333333334,1.779631414885952,0.10798145756029565,1.778273856401126,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD5_HC5p0_sigY2p04_sigC1p36,"Beta(2,2)",2.0,2.0,5.0,5.0,2.0370767292768135,1.3580511528512091,0.3528593040988351,0.030574209895158383,0.29750001307289187,0.4231037089726867,0.35568983027901374,0.049136701683626306,0.2885631817839332,0.4488508811055767,0.9749569199506006,0.007260370292599711,0.9608501121954326,0.9864134949335644,1.1381120818200754,1.0438885536455236,1.4496743655093083,0.1925,0.006833333333333334,1.7744571957650128,0.1224920301394745,1.7721390830551857,0.9676025917926566
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,0.8487819705320057,0.24989452501787482,0.09835573960935542,0.11677344112793844,0.3987042503736606,0.3960473253515476,0.35128849656770283,0.04295625693827947,0.8163594194476432,0.9743976526588342,0.007051170089678681,0.9609210268523514,0.9835798282255537,4.833800457316075,13.650085872401284,2.171171207725199,0.17049999999999998,0.006999999999999999,1.7695708537057,0.01837623408954757,1.7713894180414866,0.9071274298056156
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,1.0185383646384067,0.38610124138546875,0.06497523776203287,0.2670024144093333,0.4915848280535586,0.7679302428656909,0.0858218892217859,0.5916539683578224,0.9390494980686592,0.8209934518443079,0.16488999844267105,0.6549604333962833,0.9906287171299785,2.536688628186974,0.9999394762665107,54.49632763076454,0.1895,0.007166666666666667,1.7825454094176016,0.1638143650681611,1.7769222105540874,0.9157667386609071
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,1.1882947587448078,0.37850446955521544,0.05708193827922797,0.27861798145296146,0.47938529199549,0.7541829767930787,0.10492422912840255,0.6305070224196733,0.9563824846213349,0.8213301593940016,0.16057754978567057,0.6573962750992357,0.9860494251652551,2.180616186471786,2.2768761490046545,53.59448028830684,0.191,0.006166666666666667,1.7793087679178838,0.15070430411085114,1.7748327887196382,0.9136069114470843
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,1.3580511528512091,0.38019609260859105,0.04595117611847577,0.30520421658549995,0.4562084243922532,0.2204196619900232,0.11721579887635794,0.09944670737097415,0.3940019512585598,0.659383406051152,0.0046359052752867535,0.655604157788969,0.6695139704565539,1.779332060317977,6.7219200169141855,1.15807662665279,0.178,0.006500000000000001,1.7777642166350396,0.15010131367639862,1.773332238988261,0.8855291576673866
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,0.8487819705320057,0.30254641785705655,0.05614569066325439,0.19858828721735686,0.4029788227698847,0.26756031496853916,0.16768784993219413,0.09421184842291908,0.5426246328050761,0.990939207864897,0.004964793849495289,0.976155491797457,0.9960609612418283,2.081657052891356,5.0543522127454485,2.112074503270117,0.1875,0.008166666666666666,1.773379344714533,0.070399702297781,1.7738981204900723,0.9352051835853131
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,1.0185383646384067,0.33977051517174006,0.04284437944326959,0.2650941442025119,0.4234964259195103,0.34849761060533047,0.047156650129528146,0.2542668022498035,0.42661185715601624,0.9842687257965862,0.0033688764893491144,0.972978512499573,0.9894269376427555,1.0297180463467859,1.311094561646173,1.010892742146923,0.1875,0.005833333333333334,1.7812988207790408,0.10674907420344344,1.7800206401366259,0.937365010799136
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,1.1882947587448078,0.3432868611726702,0.0441980982140025,0.2490910851046803,0.41535934626950877,0.4150755792467929,0.038423480511504904,0.3394909364330147,0.4892769188112016,0.981480503700673,0.008212863274631874,0.9697319450594146,0.9913834968038314,1.1509303526060508,1.498721408927385,3.6260368946733643,0.18,0.005833333333333334,1.7718823031472535,0.11223288152963476,1.7702369929779491,0.937365010799136
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,1.3580511528512091,0.21677930836561424,0.12982348091419732,0.07176811738437501,0.4097741648822444,0.22052917275933367,0.1781815753352516,0.04037416411514043,0.4378133933302633,0.9707891117410529,0.00885396311811423,0.9597047395600317,0.985185814583292,7.389497246054865,13.087978400697398,1.2047589576920847,0.184,0.008666666666666666,1.7714025647359704,-0.012901005109726159,1.7732716007941782,0.9308855291576674
Ind_SampledZ_Beta2_2_muSD10_HC1p0_sigY2p04_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,1.0,2.0370767292768135,0.8487819705320057,0.36492651949346216,0.04603769729435405,0.2817139079717682,0.44726381996070286,0.283272513235251,0.0398020586561466,0.2257024870959651,0.37068947754463605,0.9805553889412262,0.006370162226914076,0.9730120984984962,0.9869556377992542,1.1677519836900299,1.1893357865263303,5.244862433405767,0.2195,0.007333333333333333,1.7726784437207344,0.13351553873868172,1.7695551949480743,0.9654427645788337
