Rank_by_RMSE,Model,Z_prior,mu_prior_sd,tau_halfcauchy_scale,Z_mean,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Method_Type
48,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC0p849,"Beta(2,3)",5.0,1.0,0.9333694006113108,1.6975639410640113,0.8487819705320057,1.76902965243395,0.12919896818835258,1.766213787419247,0.9352051835853131,1.076978918776006,1.812010039943821,1.2055400221390806,1.6692241067867857,0.17099999999999999,0.4095,0.005,Bayesian AR(1) sampled Z
49,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p7_sigC0p849,"Beta(2,3)",10.0,1.0,0.9333694006113108,1.6975639410640113,0.8487819705320057,1.7690304847203662,0.12921094131885724,1.766213745063295,0.9352051835853131,1.0769820855803436,1.812010039943821,1.2055400221390806,1.6692241067867857,0.17099999999999999,0.4095,0.005,Bayesian AR(1) sampled Z
50,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY2p04_sigC1p36,"Beta(2,3)",5.0,5.0,0.9431921246626017,2.0370767292768135,1.3580511528512091,1.7709915429999308,0.1325721597390357,1.7679328025672152,0.9676025917926566,1.0023716097003021,1.331152195562658,1.1987324240160993,1.0212681193206161,0.222,0.353,0.007166666666666667,Bayesian AR(1) sampled Z
51,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY2p04_sigC1p36,"Beta(2,3)",10.0,5.0,0.9431921246626017,2.0370767292768135,1.3580511528512091,1.7709930632831987,0.13259300743763325,1.767932761962265,0.9676025917926566,1.0023719309868597,1.331152195562658,1.1987324240160993,1.0212681193206161,0.222,0.353,0.007166666666666667,Bayesian AR(1) sampled Z
52,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY2p04_sigC1p19,"Beta(2,3)",5.0,2.5,0.9207640298919023,2.0370767292768135,1.1882947587448078,1.7725335920398655,0.12873639124091094,1.7697646736281578,0.9654427645788337,1.15013120507867,1.0014410374263,1.353420196198563,1.3422394290818076,0.1945,0.3395,0.008,Bayesian AR(1) sampled Z
53,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY2p04_sigC1p19,"Beta(2,3)",10.0,2.5,0.9207640298919023,2.0370767292768135,1.1882947587448078,1.7725348759314683,0.1287542180847181,1.7697646626534966,0.9654427645788337,1.1501321388953836,1.0014410374263,1.353420196198563,1.3422394290818076,0.1945,0.3395,0.008,Bayesian AR(1) sampled Z
54,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY2p04_sigC1p02,"Beta(2,3)",5.0,5.0,0.9322649431058406,2.0370767292768135,1.0185383646384067,1.7732641248118626,0.1387201916548601,1.7697420476852326,0.9654427645788337,1.181808800495,1.2072101223567446,1.4774814431692185,5.179572942187513,0.1985,0.3615,0.007666666666666666,Bayesian AR(1) sampled Z
55,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY2p04_sigC1p02,"Beta(2,3)",10.0,5.0,0.9322649431058406,2.0370767292768135,1.0185383646384067,1.7732654367908436,0.13873737396108,1.769742015297402,0.9654427645788337,1.1817949769412095,1.2072101223567446,1.4774814431692185,5.179572942187513,0.1985,0.3615,0.007666666666666666,Bayesian AR(1) sampled Z
56,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY2p04_sigC1p02,"Beta(2,3)",5.0,1.0,0.9309897150626486,2.0370767292768135,1.0185383646384067,1.7734321842269065,0.1300076615236112,1.7705735309446542,0.9697624190064795,1.0045179374443745,1.9783068862169089,1.6954172254185533,1.5160248188054146,0.20650000000000002,0.3355,0.006166666666666667,Bayesian AR(1) sampled Z
57,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY2p04_sigC1p02,"Beta(2,3)",10.0,1.0,0.9309897150626486,2.0370767292768135,1.0185383646384067,1.7734333761568588,0.1300241812073741,1.7705735116922032,0.9697624190064795,1.0045205429680049,1.9783068862169089,1.6954172254185533,1.5160248188054146,0.20650000000000002,0.3355,0.006166666666666667,Bayesian AR(1) sampled Z
58,AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY2p04_sigC1p19,"Beta(2,3)",5.0,1.0,0.9325946531669989,2.0370767292768135,1.1882947587448078,1.7735953366528636,0.1399844971104229,1.7699748838365488,0.9676025917926566,1.2339792114715784,1.5763085435534243,1.5955817963574401,1.0016642637674942,0.192,0.33999999999999997,0.008,Bayesian AR(1) sampled Z
59,AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY2p04_sigC1p19,"Beta(2,3)",10.0,1.0,0.9325946531669989,2.0370767292768135,1.1882947587448078,1.7735968190781566,0.14000345059707123,1.7699748701626248,0.9676025917926566,1.233993213446735,1.5763085435534243,1.5955817963574401,1.0016642637674942,0.192,0.33999999999999997,0.008,Bayesian AR(1) sampled Z
60,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY2p04_sigC1p19,"Beta(2,3)",5.0,5.0,0.9342074695198406,2.0370767292768135,1.1882947587448078,1.7747222779493477,0.13764636518537657,1.771290217045467,0.9697624190064795,1.109871485858264,1.2359545084520707,1.048010132825364,1.0977814447980805,0.221,0.3255,0.0095,Bayesian AR(1) sampled Z
61,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY2p04_sigC1p19,"Beta(2,3)",10.0,5.0,0.9342074695198406,2.0370767292768135,1.1882947587448078,1.7747237898590595,0.1376658788999772,1.771290215370023,0.9697624190064795,1.1098732748778108,1.2359545084520707,1.048010132825364,1.0977814447980805,0.221,0.3255,0.0095,Bayesian AR(1) sampled Z
62,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY2p04_sigC1p02,"Beta(2,3)",5.0,2.5,0.8054660325550079,2.0370767292768135,1.0185383646384067,1.7768654944286564,0.2093222854546271,1.7664014841647164,0.9719222462203023,2.2831891341534845,5.245113583997304,2.1659771780933084,52.99366618330612,0.1865,0.41600000000000004,0.007166666666666667,Bayesian AR(1) sampled Z
63,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY2p04_sigC1p02,"Beta(2,3)",10.0,2.5,0.8054660325550079,2.0370767292768135,1.0185383646384067,1.7768674176011894,0.2093385930579629,1.766401486174827,0.9719222462203023,2.2830219500598856,5.245113583997304,2.1659771780933084,52.99366618330612,0.1865,0.41600000000000004,0.007166666666666667,Bayesian AR(1) sampled Z
64,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC0p849,"Beta(2,3)",5.0,2.5,0.7792137646245575,1.6975639410640113,0.8487819705320057,1.7798502611666094,0.17595938704374714,1.7730468365165828,0.9416846652267818,2.8690968465598794,24.03484238302171,2.030073960626106,23.887381357708218,0.1955,0.3555,0.0061666666666666675,Bayesian AR(1) sampled Z
65,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC0p849,"Beta(2,3)",10.0,2.5,0.7792137646245575,1.6975639410640113,0.8487819705320057,1.7798510032190706,0.17596600064376264,1.7730469252539343,0.9416846652267818,2.869155614199657,24.03484238302171,2.030073960626106,23.887381357708218,0.1955,0.3555,0.0061666666666666675,Bayesian AR(1) sampled Z
66,AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY2p04_sigC0p849,"Beta(2,3)",5.0,2.5,0.7726502643244252,2.0370767292768135,0.8487819705320057,1.7874767161844782,0.22903694452061443,1.7746597662956494,0.9676025917926566,2.981647457033739,9.325562448553447,1.2832697871571936,17.883703424264834,0.217,0.354,0.006666666666666666,Bayesian AR(1) sampled Z
67,AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY2p04_sigC0p849,"Beta(2,3)",10.0,2.5,0.7726502643244252,2.0370767292768135,0.8487819705320057,1.787478319681662,0.22904890514132997,1.7746598378552232,0.9676025917926566,2.9815252796956098,9.325562448553447,1.2832697871571936,17.883703424264834,0.217,0.354,0.006666666666666666,Bayesian AR(1) sampled Z
68,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY2p04_sigC0p849,"Beta(2,3)",5.0,5.0,0.7775339946146973,2.0370767292768135,0.8487819705320057,1.7889113605702356,0.20918157146375466,1.7785609526639692,0.9654427645788337,3.255475017419279,8.272651013769723,1.760669511169074,15.6397737320614,0.21150000000000002,0.32499999999999996,0.005666666666666667,Bayesian AR(1) sampled Z
69,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY2p04_sigC0p849,"Beta(2,3)",10.0,5.0,0.7775339946146973,2.0370767292768135,0.8487819705320057,1.7889128374726468,0.20919347257364856,1.7785610385845303,0.9654427645788337,3.2553840585061344,8.272651013769723,1.760669511169074,15.6397737320614,0.21150000000000002,0.32499999999999996,0.005666666666666667,Bayesian AR(1) sampled Z
70,AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC0p849,"Beta(2,3)",5.0,5.0,0.6384673599381184,1.3580511528512091,0.8487819705320057,1.7985579084086338,0.22214110413590377,1.7867173316490745,0.9157667386609071,1.0031415968298996,1.006629227499432,1.0275826369969445,1.6336159149178244,0.218,0.3695,0.006,Bayesian AR(1) sampled Z
71,AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC0p849,"Beta(2,3)",10.0,5.0,0.6384673599381184,1.3580511528512091,0.8487819705320057,1.7985589110225864,0.22214874609778493,1.7867173909003917,0.9157667386609071,1.0031410410490678,1.006629227499432,1.0275826369969445,1.6336159149178244,0.218,0.3695,0.006,Bayesian AR(1) sampled Z
