Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC1p19,"Beta(2,3)",2.0,3.0,5.0,2.5,1.6975639410640113,1.1882947587448078,0.34822872534012345,0.03539187402235504,0.28645458743409574,0.4268205402164216,0.29455267157517107,0.048105011557460504,0.24871302622250505,0.42576200094002264,0.5692065567445738,0.13817696855977116,0.25178569957874136,0.8202045209667345,0.9218759367446874,0.019652431215022935,0.8990918557646749,0.9472400950214772,1.0429166903261584,1.3788899129646695,1.0021922990845231,1.6501473738811143,0.196,0.3885,0.008833333333333334,1.7584987905303069,0.10747910653264338,1.7571097185850055,0.9352051835853131
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC1p19,"Beta(2,3)",2.0,3.0,10.0,2.5,1.6975639410640113,1.1882947587448078,0.34824266837616025,0.035392578655117926,0.2864685614244511,0.426835731093275,0.29455267157517107,0.048105011557460504,0.24871302622250505,0.42576200094002264,0.5692065567445738,0.13817696855977116,0.25178569957874136,0.8202045209667345,0.9218759367446874,0.019652431215022935,0.8990918557646749,0.9472400950214772,1.0429264252701378,1.3788899129646695,1.0021922990845231,1.6501473738811143,0.196,0.3885,0.008833333333333334,1.7584995628926565,0.10749266196216714,1.7571096622238875,0.9352051835853131
AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,2.5,1.6975639410640113,1.3580511528512091,0.3680014136453851,0.04372267974974087,0.2836084662199183,0.4871392613139597,0.306013809263465,0.043507567062583415,0.2549236086886623,0.4184841370898408,0.5637166808493119,0.33081423699873214,-0.14767223529997905,0.8943393121973687,0.9277184710818912,0.022835296221931527,0.8973986819603957,0.9538929376651697,1.2054012182093272,1.062309395187725,1.4922132536035315,2.125441127932129,0.203,0.4535,0.0075,1.7591950642671579,0.1256499813148585,1.756600072247168,0.9330453563714903
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,2.5,1.6975639410640113,1.3580511528512091,0.36801728815908363,0.04372371647606647,0.2836227190712771,0.4871567358656826,0.306013809263465,0.043507567062583415,0.2549236086886623,0.4184841370898408,0.5637166808493119,0.33081423699873214,-0.14767223529997905,0.8943393121973687,0.9277184710818912,0.022835296221931527,0.8973986819603957,0.9538929376651697,1.2054044605244476,1.062309395187725,1.4922132536035315,2.125441127932129,0.203,0.4535,0.0075,1.7591960945222174,0.12566543223850749,1.7565999985895688,0.9330453563714903
AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p36_sigC1p02,"Beta(2,3)",2.0,3.0,5.0,5.0,1.3580511528512091,1.0185383646384067,0.4914025661530078,0.03357508006078326,0.4267877983466502,0.5596163484804034,0.6432380929646538,0.04364614927044855,0.576293991272349,0.7362346499925722,0.7872093800943857,0.13207598053144343,0.5923462850747266,0.9873107306125091,0.6280424535667496,0.00683762415982653,0.6204634093493118,0.6367305403287348,1.1252312464078684,1.0774052786338106,2.5517477750343205,7.80875635361107,0.1985,0.5834999999999999,0.0061666666666666675,1.7597143359871799,0.21219164808908525,1.748763670998488,0.9136069114470843
AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p36_sigC1p02,"Beta(2,3)",2.0,3.0,10.0,5.0,1.3580511528512091,1.0185383646384067,0.4914162100735977,0.03357583812217927,0.4268011298218407,0.5596310652847923,0.6432380929646538,0.04364614927044855,0.576293991272349,0.7362346499925722,0.7872093800943857,0.13207598053144343,0.5923462850747266,0.9873107306125091,0.6280424535667496,0.00683762415982653,0.6204634093493118,0.6367305403287348,1.1252420411786987,1.0774052786338106,2.5517477750343205,7.80875635361107,0.1985,0.5834999999999999,0.0061666666666666675,1.75971524504436,0.2122006884211255,1.7487634883939558,0.9136069114470843
AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY1p7_sigC1p02,"Beta(2,3)",2.0,3.0,5.0,2.5,1.6975639410640113,1.0185383646384067,0.3821816521399508,0.03482400506742304,0.319351002667541,0.4647900977220372,0.2679397672996059,0.038619145912874506,0.231579754224387,0.3890367680194311,0.6755566970466275,0.2089396350269826,0.3400398701934805,0.9649979985293081,0.9171423449802893,0.018859464104338818,0.886450121882073,0.9497503085607993,1.0016484002202348,1.028473775269275,2.4104176453229376,1.2176345282005274,0.2105,0.4815,0.0085,1.7597882518505845,0.14007443352313073,1.7561020823805906,0.9352051835853131
AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC1p02,"Beta(2,3)",2.0,3.0,10.0,2.5,1.6975639410640113,1.0185383646384067,0.3821954655293508,0.03482447304176964,0.3193648745918459,0.46480567632648323,0.2679397672996059,0.038619145912874506,0.231579754224387,0.3890367680194311,0.6755566970466275,0.2089396350269826,0.3400398701934805,0.9649979985293081,0.9171423449802893,0.018859464104338818,0.886450121882073,0.9497503085607993,1.0016502497800783,1.028473775269275,2.4104176453229376,1.2176345282005274,0.2105,0.4815,0.0085,1.7597892525870114,0.1400877921313818,1.7561020194898613,0.9352051835853131
AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY2p04_sigC1p36,"Beta(2,3)",2.0,3.0,5.0,1.0,2.0370767292768135,1.3580511528512091,0.23897637545863437,0.11008801727976815,0.10815328293034861,0.4263887592871573,0.1481270995930833,0.10318819003565802,0.043506097059766706,0.33276456445816277,0.6224906735142038,0.14941554029970755,0.3713832797729342,0.8491306899720371,0.9366411032650344,0.0087248475205558,0.921998470046294,0.9559992767533826,4.431015503634937,3.9795882714238764,1.7582652901012479,1.508066195069213,0.196,0.4165,0.005333333333333334,1.7630461413310774,0.006278945729471331,1.7649419754349058,0.9697624190064795
AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY2p04_sigC1p36,"Beta(2,3)",2.0,3.0,10.0,1.0,2.0370767292768135,1.3580511528512091,0.2389869750020019,0.11009697419650566,0.10815390647064947,0.42641090587493974,0.1481270995930833,0.10318819003565802,0.043506097059766706,0.33276456445816277,0.6224906735142038,0.14941554029970755,0.3713832797729342,0.8491306899720371,0.9366411032650344,0.0087248475205558,0.921998470046294,0.9559992767533826,4.431265904688703,3.9795882714238764,1.7582652901012479,1.508066195069213,0.196,0.4165,0.005333333333333334,1.7630461483265718,0.006289368155251816,1.764941945248162,0.9697624190064795
