AR(1) structure scenario with sampled Z prior = Beta(2,3)
Best model for this Z prior: AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p36_sigC1p36
Scenario directory: F:\gacheri's documents\research NCDs\BIBTEX\New folder\Simulated Datasets\Bayesian Learning Algorithm\AR1_sampledZ_results\scenario_ar1_sampled_Beta_2_3

Bayesian AR(1) sampled-Z results for Beta_2_3
=============================================
                                               Model   Z_prior  a_z  b_z  mu_prior_sd  tau_halfcauchy_scale  sigma_y_used  sigma_c_used  mu_mean    mu_sd  mu_2.5%  mu_97.5%  tau_mean   tau_sd  tau_2.5%  tau_97.5%  phi_mean   phi_sd  phi_2.5%  phi_97.5%   Z_mean     Z_sd   Z_2.5%  Z_97.5%  Rhat_mu  Rhat_tau  Rhat_phi  Rhat_Z_mean  tau_accept_rate  phi_accept_rate  z_accept_rate  Validation_RMSE  Validation_Bias  Validation_SE  Validation_Coverage
  AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY1p7_sigC1p02 Beta(2,3)  2.0  3.0         10.0                   2.5      1.697564      1.018538 0.382195 0.034824 0.319365  0.464806  0.267940 0.038619  0.231580   0.389037  0.675557 0.208940  0.340040   0.964998 0.917142 0.018859 0.886450 0.949750 1.001650  1.028474  2.410418     1.217635           0.2105           0.4815       0.008500         1.759789         0.140088       1.756102             0.935205
  AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY2p04_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   1.0      2.037077      1.358051 0.238976 0.110088 0.108153  0.426389  0.148127 0.103188  0.043506   0.332765  0.622491 0.149416  0.371383   0.849131 0.936641 0.008725 0.921998 0.955999 4.431016  3.979588  1.758265     1.508066           0.1960           0.4165       0.005333         1.763046         0.006279       1.764942             0.969762
 AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY2p04_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   1.0      2.037077      1.358051 0.238987 0.110097 0.108154  0.426411  0.148127 0.103188  0.043506   0.332765  0.622491 0.149416  0.371383   0.849131 0.936641 0.008725 0.921998 0.955999 4.431266  3.979588  1.758265     1.508066           0.1960           0.4165       0.005333         1.763046         0.006289       1.764942             0.969762
  AR1_SampledZ_Beta2_3_muSD5_HC2p5_sigY2p04_sigC1p36 Beta(2,3)  2.0  3.0          5.0                   2.5      2.037077      1.358051 0.378743 0.045881 0.292690  0.461202  0.301957 0.037831  0.250814   0.394526  0.557017 0.301565  0.057121   0.940990 0.925881 0.013311 0.906191 0.941059 1.002579  1.407439  5.007605     4.106910           0.1900           0.4520       0.008833         1.765102         0.139250       1.761504             0.969762
 AR1_SampledZ_Beta2_3_muSD10_HC2p5_sigY2p04_sigC1p36 Beta(2,3)  2.0  3.0         10.0                   2.5      2.037077      1.358051 0.378764 0.045882 0.292712  0.461224  0.301957 0.037831  0.250814   0.394526  0.557017 0.301565  0.057121   0.940990 0.925881 0.013311 0.906191 0.941059 1.002577  1.407439  5.007605     4.106910           0.1900           0.4520       0.008833         1.765104         0.139271       1.761504             0.969762
   AR1_SampledZ_Beta2_3_muSD5_HC5p0_sigY1p7_sigC1p02 Beta(2,3)  2.0  3.0          5.0                   5.0      1.697564      1.018538 0.361068 0.036637 0.282072  0.425579  0.291690 0.038839  0.223750   0.356630  0.663031 0.096345  0.461018   0.823207 0.936794 0.010453 0.926619 0.949383 1.005183  1.717576  1.252242     1.772115           0.1975           0.4770       0.007333         1.766670         0.120710       1.764447             0.935205
  AR1_SampledZ_Beta2_3_muSD10_HC5p0_sigY1p7_sigC1p02 Beta(2,3)  2.0  3.0         10.0                   5.0      1.697564      1.018538 0.361082 0.036637 0.282086  0.425594  0.291690 0.038839  0.223750   0.356630  0.663031 0.096345  0.461018   0.823207 0.936794 0.010453 0.926619 0.949383 1.005182  1.717576  1.252242     1.772115           0.1975           0.4770       0.007333         1.766670         0.120724       1.764447             0.935205
   AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC1p02 Beta(2,3)  2.0  3.0          5.0                   1.0      1.697564      1.018538 0.356316 0.044436 0.271572  0.447326  0.260921 0.033593  0.220126   0.333919  0.596333 0.201457  0.269835   0.900326 0.932565 0.010976 0.910983 0.950097 1.180420  1.598235  3.598346     1.226387           0.1930           0.4395       0.006000         1.766682         0.120557       1.764470             0.935205
  AR1_SampledZ_Beta2_3_muSD10_HC1p0_sigY1p7_sigC1p02 Beta(2,3)  2.0  3.0         10.0                   1.0      1.697564      1.018538 0.356329 0.044437 0.271584  0.447342  0.260921 0.033593  0.220126   0.333919  0.596333 0.201457  0.269835   0.900326 0.932565 0.010976 0.910983 0.950097 1.180429  1.598235  3.598346     1.226387           0.1930           0.4395       0.006000         1.766683         0.120570       1.764470             0.935205
  AR1_SampledZ_Beta2_3_muSD5_HC1p0_sigY1p7_sigC0p849 Beta(2,3)  2.0  3.0          5.0                   1.0      1.697564      0.848782 0.367855 0.027657 0.316314  0.421295  0.255815 0.048915  0.160928   0.341946  0.548426 0.200653  0.193707   0.896492 0.933369 0.007302 0.919800 0.943128 1.076979  1.812010  1.205540     1.669224           0.1710           0.4095       0.005000         1.769030         0.129199       1.766214             0.935205
