Model,Z_prior,a_z,b_z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,mu_mean,mu_sd,mu_2.5%,mu_97.5%,tau_mean,tau_sd,tau_2.5%,tau_97.5%,phi_mean,phi_sd,phi_2.5%,phi_97.5%,Z_mean,Z_sd,Z_2.5%,Z_97.5%,Rhat_mu,Rhat_tau,Rhat_phi,Rhat_Z_mean,tau_accept_rate,phi_accept_rate,z_accept_rate,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,1.0185383646384067,0.3958804513643138,0.04211478914598942,0.30383414245640333,0.47676596392289494,0.4617353212174105,0.18441209790482735,0.21070406072562647,0.7694703821818004,0.9476464611555587,0.050086410282815165,0.8153288506902562,0.9896921885055067,0.9762296407641098,0.006761453807439737,0.9589012863456,0.9839425043122554,1.0299736730386142,1.5172983978797896,1.1618540318474264,1.0852315380840316,0.1825,0.7849999999999999,0.006500000000000001,1.7012470814142437,0.09684309167475054,1.7003256570216816,0.9157667386609071
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,1.1882947587448078,0.33733208505197,0.09187468057867712,0.17289113733438513,0.48080048424503624,0.38739775019463446,0.30859368899849066,0.07541776404073725,0.7469221379615436,0.7901034752598933,0.22837136903217978,0.34126604801385174,0.9866167501772375,0.9855197168346772,0.005679761453438472,0.9715143905336494,0.9906489465843021,2.627180444533522,17.10539620029817,1.805841345715756,1.1706102226885482,0.193,0.622,0.007833333333333333,1.7090883325401334,0.04186873206232642,1.7104235198392062,0.91792656587473
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p36_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,1.0,1.3580511528512091,1.3580511528512091,0.42780208585712787,0.04008514054466757,0.35269113095367094,0.5061056188391471,0.7575758985714154,0.05238371596811557,0.6473610167245067,0.8449824187426509,0.9349190864409432,0.04204383981354313,0.8343843479122226,0.9848272749418723,0.9788635220367996,0.006839652088379691,0.9634221735735342,0.9879615556954452,1.0316114492114974,1.1867239215980558,1.052499911275277,1.2298323450738657,0.199,0.731,0.005333333333333333,1.6570874025662323,0.0575615802646449,1.6578786875618599,0.9395248380129589
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,0.8487819705320057,0.3645561206646567,0.031254762262570915,0.3027067712600214,0.42230770134964984,0.2990511812266634,0.03430060799946479,0.24496835559475516,0.3640522895445127,0.868711288655243,0.11895472845529481,0.5067660558815267,0.9842455256870681,0.9759569323443459,0.003719771598291798,0.9716403098087486,0.9803851828721372,1.0211576588353697,1.155196972030192,1.0121642360125602,2.080065417628572,0.1835,0.625,0.004,1.751445551927911,0.11516739149379154,1.749545377497287,0.937365010799136
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,1.0185383646384067,0.3495484823836938,0.04768829251764281,0.27076423368846003,0.4487780350243212,0.34328649626062885,0.08764081818677896,0.20672883866169608,0.4792316380480836,0.915906689046715,0.0582176616983045,0.7499338843124496,0.9898953713752464,0.9857011957852446,0.0035535936600368644,0.9781652707548302,0.991552177784831,1.227124720337579,3.7664988230742047,1.0967752281427712,1.176388681763378,0.196,0.732,0.005833333333333333,1.7407491435437559,0.09122648750330377,1.7402373935810438,0.9438444924406048
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,1.1882947587448078,0.3645430480234479,0.049878066244756034,0.24931283052734368,0.4503312952753565,0.4132160681036671,0.04594280681109677,0.3252368618975869,0.4933471542241737,0.8310683985863995,0.13023782952221116,0.5675221857543395,0.9860272112790155,0.9716042878487919,0.005824990841551387,0.9653160197946341,0.9812882335099263,1.0021843680209859,1.4212518220651338,1.041102496405046,2.074958690370989,0.188,0.5715,0.006666666666666666,1.7386508936098508,0.09968526191100689,1.7376683682495375,0.9481641468682506
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY1p7_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,1.0,1.6975639410640113,1.3580511528512091,0.258884844950996,0.1089981615930817,0.0836376947366678,0.4172720742964578,0.2546973190363923,0.18372534018830033,0.06018391244004846,0.4748681985672987,0.8305161172004087,0.11922373824053212,0.6030623525166027,0.9762790849520886,0.9807915225371484,0.002621536542364768,0.9737152613296057,0.9845099272707941,3.1308216971392717,13.915836115605336,1.627964754744052,1.3675339487020985,0.1905,0.6174999999999999,0.006166666666666667,1.7453658273398067,0.001010399802446937,1.747253437576269,0.937365010799136
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY2p04_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,1.0,2.0370767292768135,0.8487819705320057,0.42511002853283814,0.11026200394025058,0.26145561476057044,0.5816291734320492,0.5758491699867474,0.2508464129241429,0.2636188587440896,0.870038532922789,0.34483451459953246,0.14381235343121757,0.02127618127275057,0.5952778151237452,0.8248205990312116,0.15810622504804195,0.6634068603280295,0.9857020574942673,4.306816881325382,8.842023381947762,1.0364532196877854,69.95110725965641,0.1875,0.353,0.004833333333333334,1.7833482232828575,0.1771037069318627,1.776451830021642,0.9676025917926566
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY2p04_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,1.0,2.0370767292768135,1.0185383646384067,0.3515876345367034,0.043461205320647664,0.2481778287687958,0.4227837796508856,0.2725074194718358,0.04513703198296123,0.21672374037292455,0.3853121595941575,0.5750868850014642,0.23292072338800124,0.18966164225820467,0.8912658466824717,0.9805599807772812,0.00503067266155469,0.9703818813118391,0.9906604857986568,1.0012377730424404,1.4193302371170284,3.0827102600308494,2.0650138245045775,0.1935,0.443,0.006500000000000001,1.7698099132888216,0.11339084801063201,1.7680841402803171,0.9697624190064795
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY2p04_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,1.0,2.0370767292768135,1.1882947587448078,0.36651854963450353,0.034358520869728,0.285349441911567,0.42720678546750157,0.25595366192940416,0.08608411059114304,0.1500311871232478,0.3867641891752798,0.5784338275845541,0.1616052108587571,0.2652787661990549,0.8325090401420755,0.9730769935618349,0.006783925740879564,0.956250278704443,0.9820375818091965,1.1093043569314003,3.93419892929264,1.5322123225671709,1.8957806195284845,0.191,0.401,0.0075,1.7714604770302993,0.1298472030492169,1.7686061730949072,0.9654427645788337
AR1_SampledZ_Beta2_2_muSD10_HC1p0_sigY2p04_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,1.0,2.0370767292768135,1.3580511528512091,0.2353320803062946,0.09224102166585836,0.10162643224475608,0.395266950659574,0.17836360515160693,0.1212024850132262,0.05634434327180308,0.36475458968082125,0.4853135169543608,0.26758957906285546,-0.09455004195393557,0.8811875069504307,0.9804355762894763,0.00475344911501597,0.9739365521530593,0.9850623728705562,4.045665050804953,4.336838028562184,1.5788604684478624,1.8697485332119443,0.175,0.41600000000000004,0.005166666666666667,1.7671555458315644,0.0050297472498702965,1.769059852357513,0.9654427645788337
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p36_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,2.5,1.3580511528512091,0.8487819705320057,0.4586744909437032,0.05422029704459775,0.34358796717021195,0.5513169054961244,0.782849909601284,0.1418478975696487,0.5951320510635866,0.9679192451124173,0.7214611973778722,0.23114786651060615,0.395589625152784,0.9852673866205857,0.8171334940768368,0.15761635383621203,0.6471239295495581,0.9804389712500344,1.7297658508306604,5.41470737443319,7.454070666148821,55.975448981886075,0.2065,0.583,0.006500000000000001,1.719380560628354,0.15277762976269407,1.7144319287200942,0.9287257019438445
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p36_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,2.5,1.3580511528512091,1.0185383646384067,0.4997563856339759,0.032555150223266514,0.4365358005877947,0.567819936475705,0.7058159608147707,0.04352009894509869,0.637916000869817,0.8112083795566748,0.8041901206111156,0.10343332014586137,0.5855632519038877,0.9468611660516655,0.6606697586019278,0.0062453351445203266,0.6509565863221319,0.6720956923978768,0.9993661501910199,1.1879640729114964,1.0011827220567677,2.245875181015954,0.195,0.569,0.007166666666666667,1.7560488215752723,0.20413481883859003,1.746030049555682,0.9157667386609071
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p36_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,2.5,1.3580511528512091,1.1882947587448078,0.2942453640629121,0.13366707163712682,0.1134435195999697,0.48104206928387144,0.375474645719643,0.31366659309184663,0.056788559746325795,0.7331032699127273,0.909382377831977,0.06336426531346058,0.7416694329453272,0.9876135722237256,0.9772644257968515,0.005294519610299541,0.9619355480039667,0.9837702717989661,5.28602756522203,21.09194886543414,1.4959740428501873,1.1493637198306,0.1725,0.713,0.005166666666666667,1.7069169114597407,0.0011050939914281715,1.7087628674692417,0.91792656587473
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p36_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,2.5,1.3580511528512091,1.3580511528512091,0.4314503915864389,0.04244317577341021,0.354349165260024,0.5163516919644349,0.7680181483270924,0.050073253731553066,0.6825107757899126,0.8563225853745249,0.9429964602313033,0.03635785808366197,0.8664387410379741,0.9884179302811827,0.9868450896621438,0.008285562233809047,0.9630646085836871,0.9917384849797143,0.9994414788989946,1.134522042803944,1.0019938327040752,1.320950821969298,0.20600000000000002,0.7515000000000001,0.007833333333333333,1.652651778006728,0.05630631814550679,1.6534788928739976,0.9438444924406048
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p7_sigC0p849,"Beta(2,2)",2.0,2.0,10.0,2.5,1.6975639410640113,0.8487819705320057,0.38168045180862203,0.12337810116907845,0.17370119197509004,0.5452702683922785,0.4523309024574778,0.39096796793594374,0.057239819218727436,0.8903085132319875,0.2978086266455621,0.15173311801029585,0.03326328478426245,0.6379789972339297,0.8173544685441961,0.15565996294616147,0.6577803663505853,0.976610364423084,4.147305307572944,28.20989494277328,1.03548799598629,55.46669532339332,0.188,0.34550000000000003,0.006500000000000001,1.7739509277387013,0.14047414711756212,1.7702931033833798,0.9416846652267818
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p7_sigC1p02,"Beta(2,2)",2.0,2.0,10.0,2.5,1.6975639410640113,1.0185383646384067,0.3878576397632373,0.056385696951530916,0.29607183442443863,0.5256402939764265,0.39119065532056846,0.07860793171726228,0.31286347250686164,0.5815127913632983,0.7291575511973255,0.14228576727243544,0.38640724372570867,0.9412768992415419,0.9356664317113649,0.10125923140987722,0.6463737840894271,0.9822975382512298,1.2045514350008142,1.1929466249294252,1.0563856099719227,1.1550769975891344,0.2175,0.48550000000000004,0.008333333333333333,1.7499543898221592,0.13784872914275084,1.7464035633907953,0.9395248380129589
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p7_sigC1p19,"Beta(2,2)",2.0,2.0,10.0,2.5,1.6975639410640113,1.1882947587448078,0.3557884574329561,0.04436904933717554,0.2662448328653116,0.4355938425009046,0.44980604517198686,0.09541507034593963,0.3077890223096873,0.6314931546209119,0.827830916279518,0.1738104810806199,0.4945655422626274,0.99,0.9804094455716927,0.008705398930278442,0.9694653158784838,0.9910204723854733,1.0726475541531417,2.575112653350939,1.10210457021788,2.1324114526425744,0.2025,0.5880000000000001,0.007666666666666667,1.7325757040680514,0.08898470523333672,1.7321606727509413,0.9416846652267818
AR1_SampledZ_Beta2_2_muSD10_HC2p5_sigY1p7_sigC1p36,"Beta(2,2)",2.0,2.0,10.0,2.5,1.6975639410640113,1.3580511528512091,0.37432714849093396,0.04607209944626695,0.28150867570790955,0.466140618568223,0.4545162502367713,0.03947681644940887,0.3903563725494069,0.5426677066551744,0.8379816757054381,0.1078866939655082,0.5709221093797161,0.9664235759556005,0.9722657691412011,0.00948171583553152,0.952414332674615,0.9836054701638327,1.016817008205982,1.68535884992424,1.0123386321423127,1.7927010376929187,0.1955,0.5705,0.007833333333333333,1.7275743894883497,0.1055860418329785,1.7262099274593512,0.9460043196544277
