ID,timepoint,posterior_mean,posterior_se,ci_2_5,ci_97_5
161,Y_t3,-1.7144415151317658,,-1.7144415151317658,-1.7144415151317658
162,Y_t2,-3.1952166123979633,,-3.1952166123979633,-3.1952166123979633
162,Y_t3,2.474191253001387,,2.474191253001387,2.474191253001387
163,Y_t2,2.2896996557566958,,2.2896996557566958,2.2896996557566958
163,Y_t3,-1.5668592073939869,,-1.5668592073939869,-1.5668592073939869
164,Y_t2,0.4698714022226922,,0.4698714022226922,0.4698714022226922
164,Y_t3,-1.3079289117521387,,-1.3079289117521387,-1.3079289117521387
165,Y_t2,0.7813615817242602,,0.7813615817242602,0.7813615817242602
165,Y_t3,-1.494192076182416,,-1.494192076182416,-1.494192076182416
167,Y_t2,-8.330518640147274,,-8.330518640147274,-8.330518640147274
167,Y_t3,-1.103113951958891,,-1.103113951958891,-1.103113951958891
170,Y_t3,-3.0320506736470465,,-3.0320506736470465,-3.0320506736470465
172,Y_t3,-2.787182238791804,,-2.787182238791804,-2.787182238791804
173,Y_t2,-4.187777732955128,,-4.187777732955128,-4.187777732955128
173,Y_t3,-7.87524442594136,,-7.87524442594136,-7.87524442594136
176,Y_t2,-0.5878370042954231,,-0.5878370042954231,-0.5878370042954231
176,Y_t3,1.8449361185096096,,1.8449361185096096,1.8449361185096096
177,Y_t3,-6.1471338957281745,,-6.1471338957281745,-6.1471338957281745
178,Y_t2,0.5911719548017431,,0.5911719548017431,0.5911719548017431
178,Y_t3,-1.6718710167903525,,-1.6718710167903525,-1.6718710167903525
179,Y_t2,-1.2419035414139281,,-1.2419035414139281,-1.2419035414139281
179,Y_t3,0.44205557372257387,,0.44205557372257387,0.44205557372257387
180,Y_t3,-0.5293122357623733,,-0.5293122357623733,-0.5293122357623733
182,Y_t2,-1.6622197718782994,,-1.6622197718782994,-1.6622197718782994
182,Y_t3,-0.6592389859193387,,-0.6592389859193387,-0.6592389859193387
183,Y_t3,0.6906112058990287,,0.6906112058990287,0.6906112058990287
185,Y_t2,4.076269633486122,,4.076269633486122,4.076269633486122
185,Y_t3,1.9525950471017264,,1.9525950471017264,1.9525950471017264
187,Y_t2,1.3466261446086891,,1.3466261446086891,1.3466261446086891
187,Y_t3,2.955446300419461,,2.955446300419461,2.955446300419461
189,Y_t2,7.08281204787514,,7.08281204787514,7.08281204787514
189,Y_t3,1.717725053579366,,1.717725053579366,1.717725053579366
190,Y_t2,-0.5917314415237369,,-0.5917314415237369,-0.5917314415237369
190,Y_t3,-0.02767000740006098,,-0.02767000740006098,-0.02767000740006098
191,Y_t2,0.8053764867459765,,0.8053764867459765,0.8053764867459765
191,Y_t3,0.8686895156846607,,0.8686895156846607,0.8686895156846607
193,Y_t3,3.220841984937088,,3.220841984937088,3.220841984937088
195,Y_t2,-0.25636554318750904,,-0.25636554318750904,-0.25636554318750904
195,Y_t3,-3.1615254882310104,,-3.1615254882310104,-3.1615254882310104
196,Y_t3,1.7915738351306683,,1.7915738351306683,1.7915738351306683
197,Y_t3,0.46883467041099824,,0.46883467041099824,0.46883467041099824
198,Y_t2,-1.7305681200069074,,-1.7305681200069074,-1.7305681200069074
198,Y_t3,-0.03811510396560602,,-0.03811510396560602,-0.03811510396560602
199,Y_t2,4.817029703973387,,4.817029703973387,4.817029703973387
199,Y_t3,-1.4015060479926786,,-1.4015060479926786,-1.4015060479926786
200,Y_t2,-0.9753426973934156,,-0.9753426973934156,-0.9753426973934156
200,Y_t3,1.1883972174454693,,1.1883972174454693,1.1883972174454693
