ID,timepoint,is_original_missing,is_validation_holdout,posterior_mean,posterior_se,ci_2_5,ci_97_5
93,Y_t2,False,True,0.39984607306076114,1.4755117893218994,-2.515552520751953,3.2221806049346924
94,Y_t1,False,True,0.34246477440861867,1.4413038492202759,-2.375472068786621,3.227093458175659
94,Y_t2,True,False,0.4584541056285034,1.4272724390029907,-2.306748390197754,3.317396879196167
94,Y_t3,True,False,0.45540875262655317,1.3999892473220825,-2.208231210708618,3.273585796356201
95,Y_t2,True,False,0.4175673923649576,1.4563082456588745,-2.3611929416656494,3.2363462448120117
95,Y_t3,True,False,0.3639901681230032,1.3852481842041016,-2.298642873764038,3.026087760925293
96,Y_t3,True,False,0.22058208055303935,1.434895634651184,-2.6628544330596924,3.1255502700805664
97,Y_t3,True,False,0.4034076234344135,1.4578415155410767,-2.5075197219848633,3.257087469100952
98,Y_t3,True,False,0.39092242504159536,1.3865758180618286,-2.4086852073669434,3.14129376411438
99,Y_t3,True,False,0.4121966427115151,1.4169800281524658,-2.319986581802368,3.2158079147338867
100,Y_t2,True,False,0.43581510276792434,1.4089516401290894,-2.385502576828003,3.130535364151001
100,Y_t3,True,False,0.34093852195598545,1.4023444652557373,-2.510680675506592,3.033729314804077
101,Y_t2,True,False,0.42565197857432235,1.4001456499099731,-2.307344913482666,3.2460663318634033
101,Y_t3,True,False,0.32117342242897173,1.4699201583862305,-2.620288610458374,3.035844087600708
102,Y_t3,True,False,0.4070137919138179,1.4223905801773071,-2.424973964691162,3.102604389190674
103,Y_t2,True,False,0.40585530611917936,1.41826593875885,-2.3177661895751953,3.2166807651519775
103,Y_t3,True,False,0.46737039577346506,1.4091235399246216,-2.2002341747283936,3.261338472366333
104,Y_t2,True,False,0.377026220733998,1.464619517326355,-2.379023551940918,3.3358678817749023
104,Y_t3,True,False,0.4130821046170078,1.418293833732605,-2.390137195587158,3.2384631633758545
105,Y_t2,True,False,0.25862255230939263,1.422391414642334,-2.6015779972076416,3.011031150817871
105,Y_t3,True,False,0.33198927822064606,1.4430853128433228,-2.6229395866394043,3.101485013961792
106,Y_t2,False,True,0.4158187073519633,1.4516475200653076,-2.425621271133423,3.1621997356414795
107,Y_t3,True,False,0.3785219541512066,1.41681706905365,-2.3744421005249023,3.084649085998535
108,Y_t3,True,False,0.35740242141191153,1.4839469194412231,-2.4042558670043945,3.375277280807495
109,Y_t1,False,True,0.342725872410078,1.4581518173217773,-2.518064022064209,3.183955430984497
109,Y_t2,True,False,0.28772636195723006,1.4006922245025635,-2.4534482955932617,2.8922977447509766
109,Y_t3,True,False,0.28626003093348307,1.4055174589157104,-2.341015577316284,3.085042715072632
111,Y_t3,False,True,0.3814142667626307,1.4068228006362915,-2.395359992980957,3.110173463821411
112,Y_t2,True,False,0.34497867259540516,1.4395650625228882,-2.4366464614868164,3.1112072467803955
112,Y_t3,True,False,0.32973092923336306,1.4365042448043823,-2.5035312175750732,3.251347303390503
113,Y_t2,True,False,0.3226799353563391,1.457424283027649,-2.4913721084594727,3.1861073970794678
113,Y_t3,True,False,0.3982370939074679,1.410841941833496,-2.333339214324951,3.1526150703430176
114,Y_t2,True,False,0.31418115389127177,1.3948646783828735,-2.3563120365142822,3.0344479084014893
114,Y_t3,True,False,0.38506817612941535,1.4243491888046265,-2.398956060409546,3.2195281982421875
115,Y_t2,False,True,0.3451705552033709,1.4169926643371582,-2.522812843322754,3.025179386138916
115,Y_t3,True,False,0.37419587772332286,1.4146571159362793,-2.406527042388916,3.1469674110412598
118,Y_t3,True,False,0.34323989653596826,1.4156265258789062,-2.44476056098938,3.162719249725342
119,Y_t2,True,False,0.3585421550755208,1.454487681388855,-2.3797755241394043,3.155764102935791
119,Y_t3,True,False,0.3473075704348731,1.4042737483978271,-2.386340856552124,3.0970427989959717
120,Y_t2,True,False,0.363875799110824,1.4318190813064575,-2.4319257736206055,3.155301332473755
120,Y_t3,True,False,0.34207355043829746,1.4461450576782227,-2.4596643447875977,3.1471731662750244
121,Y_t3,True,False,0.38100812898430236,1.4612743854522705,-2.535247325897217,3.263798713684082
123,Y_t3,True,False,0.39373222109026784,1.400960087776184,-2.3262429237365723,3.0720272064208984
125,Y_t1,False,True,0.3546435393067635,1.4084659814834595,-2.3369736671447754,3.046316623687744
