Rank_by_RMSE,Model,Z,mu_prior_sd,tau_halfcauchy_scale,sigma_y_used,sigma_c_used,Validation_RMSE,Validation_Bias,Validation_SE,Validation_Coverage,Rhat_mu,Rhat_tau,tau_accept_rate,Method_Type
76,Ind_FixedZ0p9_muSD5_HC5p0_sigY1p7_sigC0p849,0.9,5.0,5.0,1.6975639410640113,0.8487819705320057,1.7776412720671513,0.1539569437909088,1.7728774047302294,0.9308855291576674,1.0036954402396745,1.2932331112040685,0.21350000000000002,Bayesian independent fixed Z
77,Ind_FixedZ0p9_muSD10_HC5p0_sigY1p7_sigC0p849,0.9,10.0,5.0,1.6975639410640113,0.8487819705320057,1.7776422195654198,0.15396788355494936,1.7728774047302291,0.9308855291576674,1.0036959691415295,1.2932331112040685,0.21350000000000002,Bayesian independent fixed Z
78,Ind_FixedZ0p7_muSD5_HC1p0_sigY2p04_sigC1p36,0.7,5.0,1.0,2.0370767292768135,1.3580511528512091,1.7778070166463882,0.1813576766069286,1.7704454553974012,0.9654427645788337,1.0039740070233822,1.0850397783832524,0.226,Bayesian independent fixed Z
79,Ind_FixedZ0p7_muSD10_HC1p0_sigY2p04_sigC1p36,0.7,10.0,1.0,2.0370767292768135,1.3580511528512091,1.7778084236166807,0.18137146828969347,1.770445455397401,0.9654427645788337,1.0039741809906442,1.0850397783832524,0.226,Bayesian independent fixed Z
80,Ind_FixedZ0p7_muSD5_HC2p5_sigY2p04_sigC1p36,0.7,5.0,2.5,2.0370767292768135,1.3580511528512091,1.7778912756366705,0.19585991636612102,1.7689813502932472,0.9632829373650108,1.0147283721687073,1.014994818496606,0.195,Bayesian independent fixed Z
81,Ind_FixedZ0p7_muSD10_HC2p5_sigY2p04_sigC1p36,0.7,10.0,2.5,2.0370767292768135,1.3580511528512091,1.777892833858309,0.19587406040281588,1.7689813502932474,0.9632829373650108,1.014729780169272,1.014994818496606,0.195,Bayesian independent fixed Z
82,Ind_FixedZ0p7_muSD5_HC5p0_sigY1p36_sigC1p19,0.7,5.0,5.0,1.3580511528512091,1.1882947587448078,1.7780271444394804,0.16939356546082998,1.7718541285109923,0.8855291576673866,1.072634483867169,1.0740011854074962,0.21200000000000002,Bayesian independent fixed Z
83,Ind_FixedZ0p7_muSD10_HC5p0_sigY1p36_sigC1p19,0.7,10.0,5.0,1.3580511528512091,1.1882947587448078,1.7780279379424564,0.16940189420376442,1.7718541285109923,0.8855291576673866,1.0726344359349387,1.0740011854074962,0.21200000000000002,Bayesian independent fixed Z
84,Ind_FixedZ0p7_muSD5_HC1p0_sigY1p36_sigC1p36,0.7,5.0,1.0,1.3580511528512091,1.3580511528512091,1.7780564008614526,0.14006624561132144,1.774448248686663,0.8833693304535637,1.1072575535689708,2.9634676216226223,0.1875,Bayesian independent fixed Z
85,Ind_FixedZ0p7_muSD10_HC1p0_sigY1p36_sigC1p36,0.7,10.0,1.0,1.3580511528512091,1.3580511528512091,1.7780570732301142,0.14007478066700063,1.774448248686663,0.8833693304535637,1.1072689987168336,2.9634676216226223,0.1875,Bayesian independent fixed Z
